tweet_id,text,retweet,likes
1435694260448153600,@TheHabeebb @Facebook The same thing hapoened to me!!,0,0
1435694263250010122,"RT @leah_nylen: In 2012, Facebook found out that Google was “aggressively courting” a new “social discovery” app called Glancee that could…",1,0
1435694265544232961,"RT @KrauseForIowa: For my friends around #Iowa &amp; the globe, can U go to Facebook &amp; like ""Women's March Iowa 2021""? The October 2 event spot…",4,0
1435694267108823050,RT @SNzubechi: Our enemies are working over time... Tomorrow remains Sit at home all over Biafra land... Ignore the edited fake letter bein…,98,0
1435694267150733313,"So a while back the @Facebook algorithm started surfacing cartoon conservatives in our feeds, and we all piled in to laugh at the goons. But now it surfaces them all up, with all their tiresome opinions. FB apparently missed that we only engage with them for satire. And now ugh.",0,0
1435694267628883968,"RT @ryansatin: Mick Foley posted the following video on Facebook titled: “WWE - WE’VE GOT A PROBLEM.”

Points to issues with creative, the…",621,0
1435694269352775687,"Facebook be so depressing these days. Every time I get on, somebody announcing someone’s death. 😓",0,0
1435694270783045633,How to Improve Your Facebook Organic Reach https://t.co/9ZlNLCqbRd https://t.co/blXtdz5wyn,0,0
1435694271462522880,"RT @Larbi_SarkCess: Poly SarkCess too me den am fought on Facebook, met in a WhatsApp and fought again, met in Kobby Kyei group and had fun…",4,0
1435694271814832132,"California’s two Biggest Losers! 
WHAT A BAG OF DEMOCRAT COMMUNIST BULLSHIT! 
https://t.co/jebZvKKXK7",0,0
1435694274683801607,"RT @Larbi_SarkCess: Poly SarkCess too me den am fought on Facebook, met in a WhatsApp and fought again, met in Kobby Kyei group and had fun…",4,0
1435694277414330373,RT @selectcanada: Follow &amp; RT at @thentixskin to #WIN one of two “Harvest Time” #PrizePacks. #CanWin. Open to CDN/CONUS residents only. End…,30,0
1435694278483877890,i must regretfully inform you all that facebook marketplace has me by the dick,0,0
1435694278638911491,"RT @MeshramTanoj: ""Whatever is wrongly settled is never settled and must be resettled."" 

~ Dr. Babasaheb Ambedkar in 'Who Were the Shudras…",1,0
1435694280367034383,"RT @BiafranTweets: JUST IN: @CNN report the current State of Biafra, as @RemiAdekoya1 &amp; @StephanieBusari Discussed REFERENDUM @OneWorldCNN…",547,0
1435694282808172549,RT @WORLDMUSICAWARD: #BTS' #V trends at #1 WORLDWIDE with #Taehyung4MSpotify and at #2 with 4 MILLION FOR V as he hits 4 MILLION followers…,3104,0
1435694285198962690,"📌 Save the date for our in-depth webinar on the European Innovation Council (EIT) Accelerator led by public funding guru Reinis Budriķis.
💥Stay tuned for a special guest announcement!
🗓️ Sep 23, 4 PM EEST
👉 Live on Facebook",0,0
1435694286390038535,"RT @MADDOnline: At 4:00 ET, MADD will join family &amp; friends of the Abbas family in Michigan to honor @RepDebDingell for her inspiring leade…",3,0
1435694286566219784,RT @thentixskin: Follow &amp; RT at @thentixskin to #WIN one of two “Harvest Time” #PrizePacks. #CanWin. Open to CDN/CONUS residents only. Ends…,29,0
1435694287056879616,Blocked di Facebook: DONE ✔. Unfollowed di Twitter: DONE ✔. Delete di Phonebook: DONE ✔. Delete memories : not responding,0,0
